Generic Group,Generic Brand,Generic Product Category,Generic Product,Variable Group,Generic Variable,Generic LookupKey,Units,Time Period,Value
Consumer Market,Market,Market,Total across Products,Addressable base,New households requiring Broadband,Consumer MarketMarketMarketTotal across ProductsNew households requiring Broadband,(000)s,16/17_Q4_Mar,0.416336003
Consumer Market,Market,Market,Total across Products,Addressable base,New households requiring Broadband,Consumer MarketMarketMarketTotal across ProductsNew households requiring Broadband,(000)s,17/18_Q4_Mar,0.519473973
Consumer Market,Market,Market,Total across Products,Addressable base,Switchers,Consumer MarketMarketMarketTotal across ProductsSwitchers,(000)s,14/15_Q4_Mar,0.713507661
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q1_Apr,0.194730095
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q1_May,0.190603026
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q1_Jun,0.194969538
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q2_Jul,0.189496578
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q2_Aug,0.194412335
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q2_Sep,0.18985209
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q3_Oct,0.188710675
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q3_Nov,0.194286793
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q3_Dec,0.189106595
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q4_Jan,0.194593474
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q4_Feb,0.192834441
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,17/18_Q4_Mar,0.193991301
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q1_Apr,0.188445172
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q1_May,0.194805708
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q1_Jun,0.193979045
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q2_Jul,0.194331866
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q2_Aug,0.197003569
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q2_Sep,0.191156715
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q3_Oct,0.199032264
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q3_Nov,0.19112981
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q3_Dec,0.196333818
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q4_Jan,0.194087738
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Acquisition Average revenue per customer  - Tortoise,ConsumerSandesh Brand 1BroadbandRabbitAcquisition Average revenue per customer  - Tortoise,Pounds,18/19_Q4_Feb,0.196141996
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,17/18_Q4_Jan,0.251990861
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,17/18_Q4_Feb,0.254967629
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,17/18_Q4_Mar,0.249947666
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q1_Apr,0.190184588
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q1_May,0.261356165
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q1_Jun,0.24935214
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q2_Jul,0.255510658
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q2_Aug,0.242649704
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q2_Sep,0.229039782
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q3_Oct,0.256802648
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q3_Nov,0.233279102
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q3_Dec,0.254054218
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q4_Jan,0.252050384
Consumer,Sandesh Brand 1,Broadband,Cheetah,Average revenue per existing customeR,Acquisition Average revenue per customer - Rabbit ,ConsumerSandesh Brand 1BroadbandCheetahAcquisition Average revenue per customer - Rabbit ,Pounds,18/19_Q4_Feb,0.266714431
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q1_Apr,0.208427605
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q1_May,0.17916683
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q1_Jun,0.21036851
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q2_Jul,0.179053405
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q2_Aug,0.213332229
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q2_Sep,0.179235687
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q3_Oct,0.210857769
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q3_Nov,0.213531582
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q3_Dec,0.178146465
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q4_Jan,0.209401491
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q4_Feb,0.207124714
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,17/18_Q4_Mar,0.214091385
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q1_Apr,0.177696025
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q1_May,0.185809574
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q1_Jun,0.209471894
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q2_Jul,0.17838074
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q2_Aug,0.210242634
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q2_Sep,0.179520254
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q3_Oct,0.209510398
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q3_Nov,0.186788299
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q3_Dec,0.209692654
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q4_Jan,0.209064632
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Acquisition Average revenue per customer - Cheetah,ConsumerSandesh Brand 1BroadbandTortoiseAcquisition Average revenue per customer - Cheetah,Pounds,18/19_Q4_Feb,0.213972485
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q1_Apr,0.206739428
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q1_May,0.181199987
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q1_Jun,0.206076145
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q2_Jul,0.18041573
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q2_Aug,0.213243982
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q2_Sep,0.179775785
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q3_Oct,0.188441377
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q3_Nov,0.212295432
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q3_Dec,0.179581982
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q4_Jan,0.205008575
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q4_Feb,0.205099259
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,17/18_Q4_Mar,0.211753738
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q1_Apr,0.178715396
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q1_May,0.185864477
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q1_Jun,0.20601201
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q2_Jul,0.183677771
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q2_Aug,0.204322473
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q2_Sep,0.180558104
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q3_Oct,0.204194502
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q3_Nov,0.185071774
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q3_Dec,0.207601134
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q4_Jan,0.207790633
Consumer,Sandesh Brand 1,Broadband,Tortoise,Average revenue per existing customeR,Average revenue per existing customer  - Tortoise,ConsumerSandesh Brand 1BroadbandTortoiseAverage revenue per existing customer  - Tortoise,Pounds,18/19_Q4_Feb,0.210379726
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q1_Apr,0.19422843
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q1_May,0.188625782
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q1_Jun,0.196160694
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q2_Jul,0.190856097
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q2_Aug,0.194581466
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q2_Sep,0.188341572
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q3_Oct,0.192760575
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q3_Nov,0.199509617
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q3_Dec,0.18936379
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q4_Jan,0.19355275
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q4_Feb,0.195468362
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,17/18_Q4_Mar,0.194024319
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,18/19_Q1_Apr,0.189911541
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,18/19_Q1_May,0.199250987
Consumer,Sandesh Brand 1,Broadband,Rabbit,Average revenue per existing customeR,Average revenue per existing customer - Rabbit ,ConsumerSandesh Brand 1BroadbandRabbitAverage revenue per existing customer - Rabbit ,Pounds,18/19_Q1_Jun,0.194510572
